公開/特許番号,公開/登録日,発明の名称,出願番号,出願日,出願人,発明者,要約_課題,要約_解決手段,特許ステータス
特開2022-96003,令和4年6月29日,セキュリティ監視システム、セキュリティ監視方法及びセキュリティ監視プログラム,特願2019-84777,平成31年4月25日,株式会社ＭＡＹＡ  ＳＵＳＴＡＩＮＥＲＧＹ,[''],閉域網上でのセキュリティを監視するセキュリティ監視システム、セキュリティ監視方法及びセキュリティ監視プログラムを提供する。,閉域網５上にセキュリティサーバ４と中継デバイス２とを設ける。中継デバイス２は、中継デバイス２への外部デバイスによるアクセス、中継デバイス２への閉域網５によるアクセスを監視するアクセス監視部３を有する。アクセス監視部３はセキュリティサーバ４に閉域網５で接続され、セキュリティサーバ４は、アクセス監視部３からの監視信号に基づいて中継デバイス２のセキュリティを監視する。監視対象は、中継デバイス２への第三者の外部デバイス８によるアクセス、および閉域網５によるアクセスであり、これにより閉域網上５の中継デバイス２のセキュリティを向上させることができる。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2022-096003
（出願の）却下・拒絶 (出願のみなし取下げ)"
特開2022-95622,令和4年6月28日,ワイヤレス動力伝送システムにおける常時ビーコン送信,特願2022-35087,令和4年3月8日,オシア  インク．,"['', '', '']",ワイヤレス動力伝送システムを操作するシステム及び方法を提供する。,ワイヤレス動力伝送システムは、ワイヤレス動力伝送システムからワイヤレス動力を受け取るように構成されたワイヤレス動力レシーバクライアントによって送達及び開始された符号化ビーコン信号を受信する。ワイヤレス動力伝送システムはまた、ワイヤレス動力をワイヤレス動力レシーバクライアントに送達し、それと同時に追加のワイヤレス動力レシーバクライアントによって送達及び開始された追加の符号化ビーコン信号を検出する。 【選択図】図２ 請求の範囲 開く 詳細な説明 開く 図面 開く 手続補正書 開く 外国語明細書等 開く 図面 閉じる 代表図面 1 2 3 4 5 6A 6B 7 8 ... 拡大および回転 代表図面 >,"特開2022-095622
特許 有効 (登録公報の発行)"
特開2022-94347,令和4年6月24日,おりんによる見守りシステム,特願2021-202218,令和3年12月14日,株式会社小泉製作所,[''],おりんをＩｏＴデバイスとして用い、見守り対象者がおりんを操作したことを精度高く感知する見守りシステムの提供を目的とする。,おりんによる見守りシステムであって、前記おりんと、前記おりんの操作を検知して検知結果を得る検知手段と、前記検知結果を解析して解析結果を得る解析手段と、前記検知結果及び／又は解析結果を通信端末に通信する通信手段と、を備えることを特徴とする。 【選択図】 図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 拡大および回転 代表図面 >,"特開2022-094347
審査中 (拒絶理由通知)"
特開2022-94308,令和4年6月24日,複数のサービスプロバイダ間でデータを共有するためのコンピュータ実装方法、コンピュータプログラム製品およびコンピュータシステム（コラボレーションチャネルを介したエッジレベルでのサービスプロバイダ間のデータ共有）,特願2021-174308,令和3年10月26日,インターナショナル・ビジネス・マシーンズ・コーポレーション,"['', '', '']",複数のサービスプロバイダ間でデータを共有するコンピュータ実装方法、コンピュータプログラム及びコンピュータシステムを提供する。,異なるサービスプロバイダ間でのデータ共有を可能にする方法は、コラボレーションコンピューティングシステムによる制御下で１つ以上のコラボレーションチャネルを確立することを含む。各コラボレーションチャネルは、１つ以上の共有カテゴリのデータを提供する１つ以上のプロデューサエッジコンピューティングシステムと、１つ以上の共有カテゴリのデータを受信する権限を付与されている１つ以上のコンシューマエッジコンピューティングシステムとの間に存在する。各コラボレーションチャネルは、各プロデューサエッジコンピューティングシステムによって使用され、対応する共有カテゴリのデータを受信する権限を付与されているコンシューマエッジコンピューティングシステムに対して、データを提供する。 【選択図】図１Ｃ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1A 1B 1C 1D 2 3 4A 4B 4C 拡大および回転 代表図面 >,"特開2022-094308
特許 有効 (登録公報の発行)"
特開2022-94182,令和4年6月24日,ＩｏＴ機器,特願2020-207064,令和2年12月14日,株式会社コロナ,"['', '', '']",負荷の低減およびユーザの使用感を両立できるＩｏＴ機器を提供する。,情報端末により実行される第一アプリおよび第二アプリに機器状態値を提供するＩｏＴ機器であって、第一アプリに使用される第一機器状態値と、第一アプリおよび第二アプリにより使用される第二機器状態値と、を含む機器状態値が、変化したか否かを判定する判定部と、第一アプリに第一機器状態値および第二機器状態値を提供することを要求する第一通知を外部サーバより受信する第一受信部と、第二アプリに第二機器状態値を提供することを要求する第二通知を外部サーバより受信する第二受信部と、判定部が変化した機器状態値が第二機器状態値であり、かつ第二受信部が第二通知を受信したと判定した場合、第一通知の受信の有無に関わらず、第二機器状態値を外部サーバに送信する送信部と、を備える。 【選択図】図５ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 拡大および回転 代表図面 >,"特開2022-094182
特許 有効 (登録公報の発行)"
特表2023-553687,令和5年12月25日,ベンゼン環化合物及びその使用,特願2023-536839,令和3年12月17日,南京施江医薬科技有限公司,"['', '']",抽出不可,抽出不可,"特表2023-553687
特許 有効 (登録公報の発行)"
特表2023-554034,令和5年12月26日,小胞体ストレス誘発物質で処理された細胞由来のエキソソームおよびその用途,特願2023-536117,令和3年12月14日,ソウル  ナショナル  ユニヴァーシティ  アール  アンド  ディービー  ファウンデーション,"['', '', '']",抽出不可,抽出不可,"特表2023-554034
特許 有効 (登録公報の発行)"
特表2024-505791,令和6年2月8日,予想されるユーザ機器（ＵＥ）挙動パターンに基づいてインターネット・オブ・シングス（ＩｏＴ）デバイスへの５Ｇローミング攻撃を緩和するための方法、システム、およびコンピュータ読取可能媒体,特願2023-537103,令和3年10月28日,オラクル・インターナショナル・コーポレイション,"['', '', '']",抽出不可,抽出不可,"特表2024-505791
特許 有効 (登録公報の発行)"
特表2024-502742,令和6年1月23日,モジュール式センサ・システムを備えたワイヤレス、エネルギー・ハーベスタ,特願2023-537223,令和3年12月3日,ナノフレックス  パワー  コーポレイション,"['', '', '', '', '']",抽出不可,抽出不可,"特表2024-502742
審査中 (審査請求)"
特表2024-501626,令和6年1月15日,ＩｏＴデバイスの遠隔制御,特願2023-535882,令和3年12月14日,サードウェイブ，インコーポレイティド,"['', '']",抽出不可,抽出不可,"特表2024-501626
審査中 (拒絶理由通知)"
特表2023-553769,令和5年12月26日,受動的に電力供給されるＩｏＴデバイス,特願2022-569550,令和2年12月14日,船井電機株式会社,"['', '', '', '']",抽出不可,抽出不可,"特表2023-553769
審査中 (手続補正)"
特開2022-92411,令和4年6月22日,エネルギーマネージメント複層窓ガラス構造体及びそれを用いたシステム,特願2020-205217,令和2年12月10日,日本板硝子株式会社,"['', '']",信頼性の高いＩｏＴ化したエネルギーマージメント複層窓ガラス構造体及びそれを用いたシステムを提供する。,複層窓ガラス構造体の密閉空間の内部にはＩｏＴ制御装置が配置され、ＩｏＴ制御装置は、他から供給される物理エネルギーを電力に変換する電力源と、電力が充電されかつ放電可能な蓄電機器と、蓄電機器への電力源の発生する電力の充電を制御するとともに、電力源の発生する電力と蓄電機器の放電する電力との少なくとも何れか一方を電力を必要とする機器に供給する電源管理回路とを備えるとともに、複層窓ガラス構造体又は周囲の状態パラメータを取得するセンサと、状態パラメータをデータとして無線伝達する無線モジュールと、外部との間でデータを伝達する電波を送受信するアンテナとを備え、外部のコントローラにより室内環境を制御する。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 拡大および回転 代表図面 >,"特開2022-092411
（出願の）却下・拒絶 (出願のみなし取下げ)"
特開2022-91466,令和4年6月21日,情報送信システム,特願2020-204314,令和2年12月9日,株式会社ＶＡＬＵＥＣＡＲＥ,[''],ＩｏＴ機器の機器特定情報を容易に登録できるとともに、情報セキュリティを向上させることができる情報送信システムを提供する。,情報送信システムにおける登録処理において、第１機器特定情報及び第２機器特定情報が付与されたＧＰＳ端末は、第１機器特定情報をクラウドサーバに送信する６０６。ユーザ端末は、ＧＰＳ端末の第２機器特定情報を読み取り６０７、読み取った第２機器特定情報をクラウドサーバに送信する６０８。クラウドサーバは、第１機器特定情報及び第２機器特定情報がそれぞれ送信されたと判定した場合６０９：Ｙｅｓ、第１機器特定情報を登録する６１０。ＧＰＳ端末は、検出した位置情報等の状態情報をクラウドサーバに送信する。クラウドサーバは、第１機器特定情報が登録されている場合のみ、ＧＰＳ端末から受信し蓄積された状態情報を、要求に応じてユーザ端末に送信する。 【選択図】図６ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 拡大および回転 代表図面 >,"特開2022-091466
（出願の）却下・拒絶 (出願の拒絶・却下)"
特開2022-91077,令和4年6月20日,宅配ロボットシステム,特願2020-214279,令和2年12月8日,吉原  和男,[''],ドローンを荷物の宅配に用いる事が検討されているが、ドローン等の飛行体が荷物を運搬する場合、地上を車輪等で移動する移動体に比べ、エネルギー消費、騒音、積載量の面で不利である。,地上を移動し複数の荷物配送先に荷物を配送し、本人確認手段を有する宅配ロボット及び、前記宅配ロボットに対応した宅配Ｂｏｘを提供する。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2A 2B 3 4A 4B 拡大および回転 代表図面 >,"特開2022-091077
（出願の）却下・拒絶 (出願の取下げ)"
特表2023-553867,令和5年12月26日,ユーザ発話プロファイル管理,特願2023-533713,令和3年9月28日,クゥアルコム・インコーポレイテッド,"['', '', '', '']",抽出不可,抽出不可,"特表2023-553867
特許 有効 (登録公報の発行)"
特表2024-501436,令和6年1月12日,組換えシルクタンパク質の生産能が強化された組換え微生物及びこれを用いた高分子量組換えシルクタンパク質の生産方法,特願2023-534622,令和3年12月7日,メディコスバイオテク  インコーポレイテッド,"['', '']",抽出不可,抽出不可,"特表2024-501436
特許 有効 (登録公報の発行)"
特表2023-532056,令和5年7月26日,ヒト化抗ＩＬ－４Ｒα単一ドメイン抗体及びその使用,特願2022-580486,令和3年2月24日,南京融捷康生物科技有限公司,"['', '', '', '', '']",抽出不可,抽出不可,"特表2023-532056
特許 有効 (登録公報の発行)"
特表2024-500564,令和6年1月9日,硬組織補修用接着性組成物,特願2023-558921,令和3年3月5日,ジャシン  ジンイン  バイオテクノロジー  カンパニー  リミテッド,"['', '', '', '', '']",抽出不可,抽出不可,"特表2024-500564
審査中 (拒絶査定)"
特表2023-553888,令和5年12月26日,Ａ型インフルエンザ感染の治療のための抗体及び方法,特願2023-534639,令和3年12月7日,ヴィア・バイオテクノロジー・インコーポレイテッド,"['', '']",抽出不可,抽出不可,"特表2023-553888
（出願の）却下・拒絶 (出願のみなし取下げ)"
特表2023-553202,令和5年12月20日,動物に物質を送達するための装置および方法の改善,特願2023-558116,令和3年12月7日,ルミナント  バイオテク  コーポレーション  リミテッド,"['', '', '', '', '', '']",抽出不可,抽出不可,"特表2023-553202
審査中 (拒絶理由通知)"
特表2023-552800,令和5年12月19日,ミトコンドリアベースのコレステロールの流動および異化の向上,特願2023-534717,令和3年12月8日,リペア・バイオテクノロジーズ・インコーポレイテッド,"['', '', '', '', '', '']",抽出不可,抽出不可,"特表2023-552800
審査中 (手続補正)"
特開2022-87740,令和4年6月13日,高齢者、若年や成人のＭＣＩ軽度認知障害および認知症ならびに鬱［うつ］の緩和と予防のための組成物と摂取の新しい方法,特願2020-199869,令和2年12月1日,松山  太,"['', '']",,１．鬱［うつ］、MCI軽度認知障害、認知症患者が当該化合物たるコロソリン酸とその類を日常的に摂取する ２．認知症が疑われる人は血液診断、バイオマーカーはコロソリン酸の試薬 ３．コロソリン酸を安価で大量に生産する 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 1 2 3 4 5 6 7 8 9 拡大および回転 図１ >,"特開2022-087740
（出願の）却下・拒絶 (出願のみなし取下げ)"
特表2023-553861,令和5年12月26日,抗ＧＡＲＰ／ＴＧＦβ抗体及び使用方法,特願2023-533669,令和3年11月24日,上海復宏漢霖生物技術股▲フン▼有限公司,"['', '', '', '', '', '']",抽出不可,抽出不可,"特表2023-553861
審査中 (拒絶理由通知)"
特表2023-553610,令和5年12月25日,重症急性呼吸器症候群関連コロナウイルスを標的とする干渉ＲＮＡＳ、及びＣＯＶＩＤ－１９を治療するためのそれらの使用,特願2023-534695,令和3年12月3日,マイクロバイオ  （シャンハイ）  カンパニー  リミテッド,"['', '', '', '', '']",抽出不可,抽出不可,"特表2023-553610
審査中 (手続補正)"
特表2023-551726,令和5年12月12日,ネットワーク公開機能を介して低頻度データ通信をサポートするように構成された統一インターフェイスを提供するための方法、システムおよびコンピュータ読取可能媒体,特願2023-533730,令和3年11月17日,オラクル・インターナショナル・コーポレイション,"['', '', '']",抽出不可,抽出不可,"特表2023-551726
審査中 (特許査定)"
特開2022-87100,令和4年6月9日,家畜の飼育における水の供給方法及び水性ゲルのブロックを製造するための装置,特願2022-36331,令和4年3月9日,インセクト,"['', '', '', '', '', '']",ブロックで水性ゲルを製造するための方法及び装置の提供。,本発明は、水性ゲルのブロックを製造するための方法であって、以下：以下のものを混合することによって化合物を形成するステップ：ｉ．周囲温度で液体であり、かつゲル化剤の溶解（Ｅ１）を可能にする温度とされる水性基材；及びｉｉ．ゲル化剤；化合物を放出（Ｅ４）するステップ；化合物が第２の温度未満となるように前記化合物をインライン冷却（Ｅ５）するステップ、前記第２の温度で化合物はゲル化する；分配ラインへと移送（Ｅ６）するステップ；分配ラインの出口でゲル化した化合物をブロックへと切断（Ｅ７）するステップ；並びに、ゲルをブロックへと切断した直後に、農業用容器内にゲルのブロックを分配するステップ、を含む方法に関する。そのような方法は、連続的に、かつ家畜飼育、特に昆虫飼育の文脈において必要に応じて、ゲルのブロックを製造することを可能にする。本発明はまた、対応する装置に関する。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 手続補正書 開く 外国語明細書等 開く 図面 閉じる 代表図面 1 2 拡大および回転 代表図面 >,"特開2022-087100
特許 有効 (登録公報の発行)"
特開2022-84579,令和4年6月7日,粘膜付着性微生物,特願2022-16914,令和4年2月7日,イントレクソン・アクトバイオテイクス・エヌブイ,"['', '']",増進したムチン結合及び／又は細胞付着特性を有する遺伝子改変された微生物（例えば、細菌または酵母）を提供する。,（Ａ）Ｎ末端のムチン結合ポリペプチド、及び、（Ｂ）細胞壁アンカー性ドメインを含むＣ末端の細胞付着ポリペプチドを含む融合タンパク質をコードする外因性核酸を含む乳酸菌（ＬＡＢ）を提供する。 【選択図】なし 請求の範囲 開く 詳細な説明 開く 図面 開く 配列表 開く 手続補正書 開く 図面 閉じる 1 2 3 4 5A 5B 5C 5D 6 7A ... 拡大および回転 図１ >,"特開2022-084579
特許 有効 (登録公報の発行)"
特開2022-83441,令和4年6月3日,尿分析を行うためのシステム,特願2021-190378,令和3年11月24日,ヴィヴォセンス  インク,"['', '', '']",尿の尿分析を行うためのシステムが提供される。,本システム１０は、排尿領域１４を画定する排尿デバイス上に取り付け可能なハウジング１２と、ハウジング内に取り付けられ、複数の尿試験ストリップ（以下「ＵＴＳ」）２５を保持するように構成されているディスペンサと、を含む。ＵＴＳの各１つは、尿中の物質との化学反応のために構成された少なくとも１つの反応領域を含む。本システムは、反応領域の少なくとも１つの性状を検出するように構成された検出器と、ディスペンサから１つのＵＴＳを抽出し、ＵＴＳを、反応領域が尿経路に沿って配置されるようにＵＴＳが排尿領域の上に配置される排尿位置に移動させるように構成されたシフト機構と、をさらに含む。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 外国語明細書等 開く 図面 閉じる 代表図面 1 2A 2B 3 4 5 6A 6B 7 拡大および回転 代表図面 >,"特開2022-083441
（出願の）却下・拒絶 (出願のみなし取下げ)"
特開2022-83424,令和4年6月3日,統合的健康情報を利用した献立および運動推薦方法およびサービスシステム,特願2021-189430,令和3年11月22日,エヌジーンバイオ・カンパニー・リミテッド,"['', '', '', '', '']",特定の個人の健康状態を高揚させ得る献立情報及び運動情報を提供する献立及び運動推薦方法及び献立及び運動推薦システムを提供する。,統合的健康情報を利用した献立及び運動推薦方法は、サービスサーバー１５０が特定の個人のゲノム情報を受信する段階、サービスサーバー１５０が特定の個人の臨床情報を受信する段階、サービスサーバー１５０が特定の個人の生活習慣情報を受信する段階、サービスサーバー１５０がゲノム情報、臨床情報及び生活習慣情報を事前に学習された学習モデルに入力する段階及びサービスサーバー１５０が学習モデルから出力する出力値を基準として献立データベース１６０を参照して特定の個人に対する献立情報を生成し、出力値を基準として運動データベース１７０を参照して特定の個人に対する運動情報を生成する段階を含む。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 拡大および回転 代表図面 >,"特開2022-083424
（出願の）却下・拒絶 (出願の拒絶・却下)"
特許第7079876号,令和4年5月25日,醸造装置遠隔管理システム,特願2021-90103,令和3年5月28日,西堀酒造株式会社,[''],醪の温度管理作業の自動化及び遠隔操作による労働負担軽減のための、醸造装置遠隔管理システムを提供する。,醸造装置１０と給水設備１１と醪管理装置２０と通信回線網３０と管理サーバー４０と端末機器５０とから成り、醪管理装置に電磁弁と温調器と醪温度センサーと室温センサーとＷｅｂカメラとＩｏＴクライアントマシンとデータ情報記録管理装置とを備え、通信回線網を介して端末機器と前記ＩｏＴクライアントマシンとの間で相互通信し、当該通信情報をデータ情報記録管理装置に記録し、管理サーバーには通信回線網を介して端末機器から管理情報を入力可能とし、醪温度センサーからの温度情報により、温調器を介して電磁弁の開閉を行うとともに、端末機器からの指令によりＩｏＴクライアントマシンからも電磁弁を開閉動作可能とし、給水設備からの水の流入及び遮断を遠隔で操作可能として、醪の温度管理を行う醸造装置遠隔管理システム。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 1 2 3 4 5 6 拡大および回転 図１ >,"特許7079876
特許 有効 (年金の支払い)"
特表2023-551268,令和5年12月7日,注入が可能な動物軟骨由来注射剤組成物の製造方法及びその利用,特願2023-532334,令和3年11月26日,カンステム  バイオテック  カンパニー  リミテッド,"['', '', '', '']",抽出不可,抽出不可,"特表2023-551268
査定不服 (手続補正)"
特表2023-550990,令和5年12月6日,難溶性カンプトテシン化合物を含むナノ粒子を含む癌治療用薬剤学的組成物及びその併用療法,特願2023-532380,令和3年11月23日,エスエヌ  バイオサイエンス  インコーポレイテッド,[''],抽出不可,抽出不可,"特表2023-550990
査定不服 (手続補正)"
特表2023-550905,令和5年12月6日,植込み型心臓内デバイス用のヘッダアセンブリおよびそれぞれの心臓内デバイス,特願2023-527670,令和3年11月24日,バイオトロニック  エスエー  アンド  カンパニー  カーゲー,"['', '', '']",抽出不可,抽出不可,"特表2023-550905
審査中 (手続補正)"
特表2023-550785,令和5年12月5日,複数のベータコロナウイルスに結合する抗体,特願2023-531541,令和3年11月23日,ヴィア・バイオテクノロジー・インコーポレイテッド,"['', '', '', '']",抽出不可,抽出不可,"特表2023-550785
（出願の）却下・拒絶 (出願のみなし取下げ)"
特表2023-550515,令和5年12月1日,ＲＡＳ突然変異体エピトープペプチドおよびＲＡＳ突然変異体を認識するＴ細胞受容体,特願2023-531096,令和3年11月23日,シャンハイ、ケンパーソー、バイオテクノロジー、カンパニー、リミテッド,"['', '', '']",抽出不可,抽出不可,"特表2023-550515
審査中 (手続補正)"
特開2022-81596,令和4年5月31日,端末装置、基地局装置、通信方法、および、集積回路,特願2022-35586,令和4年3月8日,シャープ株式会社,"['', '', '', '']",第５世代のセルラーシステムでは、高速・大容量伝送を実現するｅＭＢＢ（enhanced Mobile BroadBand）、低遅延・高信頼通信を実現するＵＲＬＬＣ（Ultra-Reliable and Low Latency Communication）、ＩｏＴ（Internet of Things）などマシン型デバイスが多数接続するｍＭＴＣ（massive Machine Type Communication）の３つがサービスの想定シナリオとして要求されている。端末装置と基地局装置が効率的に通信を行うこと。,端末装置が、基地局装置からランダムアクセス手順の開始を指示する指示情報を含む信号を受信し、前記指示情報に基づいて、前記１つまたは複数のランダムアクセスプリアンブルを送信し、前記指示情報に含まれる前記ＳＲＳリソースに関する情報に基づいて前記ランダムアクセスプリアンブルの送信に用いるアンテナポートを決定する。 【選択図】図１０ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2022-081596
特許 有効 (権利の移転)"
特開2022-81481,令和4年5月31日,商品のトレーサビリティ偽造防止方法及び装置,特願2022-17439,令和4年2月7日,浙江▲しん▼泊物流科技有限公司,[''],商品のトレーサビリティ偽造防止方法及び装置を提供する。,方法は、発送段階において、電子タグに商品情報を書込み、第１暗号化キーを利用して商品情報を暗号化しＳ１１０、物流輸送段階において、電子タグに物流情報を書込み、第２暗号化キーを利用して物流情報を暗号化しＳ１２０、受取段階において、暗号化キーにマッチングする暗号解読キーを利用して電子タグの情報を読み取り、目標情報を取得して商品に対してトレーサビリティ検証を行うＳ１３０。マッチングするキーによって商品情報及び物流情報を暗号化・解読して、商品のトレーサビリティ真実性及び商品の輸送過程での真実で完全な状態を確保し、また、小包が途中で開封された場合、開封防止装置が電子タグを破壊し、開封防止装置を利用して電子タグの完全性を確保することにより、包装内の商品が入れ替えられることを防止する。 【選択図】図２ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5-a 5-b 5-c 5-d 6 ... 拡大および回転 代表図面 >,"特開2022-081481
（出願の）却下・拒絶 (出願の拒絶・却下)"
特表2023-549946,令和5年11月29日,酵母によるネルボン酸および油脂の合成における脂肪酸伸長酵素遺伝子およびエステラーゼ遺伝子の使用,特願2023-530682,令和3年11月18日,チンタオ  インスティテュート  オブ  バイオエナジー  アンド  バイオプロセス  テクノロジー、チャイニーズ  アカデミー  オブ  サイエンシーズ,"['', '', '', '', '', '', '', '']",抽出不可,抽出不可,"特表2023-549946
特許 有効 (登録公報の発行)"
特表2023-551451,令和5年12月8日,複数の移動通信ネットワークの複数の無線セルを備える無線環境にあるユーザ機器によってネットワーク選択を実現するための方法、ユーザ機器、システムまたは移動通信ネットワーク、プログラムおよびコンピュータプログラム製品,特願2023-531058,令和3年11月2日,ドイッチェ  テレコム  アーゲー,"['', '']",抽出不可,抽出不可,"特表2023-551451
特許 有効 (登録公報の発行)"
特表2023-551668,令和5年12月12日,インフルエンザのノイラミニダーゼに対する広域中和抗体,特願2023-531064,令和3年11月19日,ヴィア・バイオテクノロジー・インコーポレイテッド,"['', '', '', '', '', '']",抽出不可,抽出不可,"特表2023-551668
審査中 (拒絶理由通知)"
特表2023-551667,令和5年12月12日,抗－インフルエンザ抗体及びその組合せ,特願2023-531063,令和3年11月19日,ヴィア・バイオテクノロジー・インコーポレイテッド,"['', '', '', '', '', '', '']",抽出不可,抽出不可,"特表2023-551667
（出願の）却下・拒絶 (出願のみなし取下げ)"
特表2023-551666,令和5年12月12日,Ａ型インフルエンザウイルスに対する抗体,特願2023-531060,令和3年11月19日,ヴィア・バイオテクノロジー・インコーポレイテッド,"['', '', '', '', '']",抽出不可,抽出不可,"特表2023-551666
審査中 (拒絶理由通知)"
特表2023-551444,令和5年12月8日,腫瘍内直接注射による免疫療法のための、方法及び陽イオン性脂質を含む組成物,特願2023-530630,令和3年11月22日,ピーディーエス  バイオテクノロジー  コーポレイション,"['', '', '', '', '']",抽出不可,抽出不可,"特表2023-551444
（出願の）却下・拒絶 (出願のみなし取下げ)"
特表2023-550148,令和5年11月30日,がん免疫治療に用いられる武装二重ＣＡＲ－Ｔ組成物及び方法,特願2023-530782,令和3年11月19日,シンシア・イノベーション・インコーポレイテッド,"['', '']",抽出不可,抽出不可,"特表2023-550148
審査中 (手続補正)"
特表2023-550114,令和5年11月30日,新規化合物、その製造方法およびこれを含む抗生剤組成物,特願2023-530614,令和3年11月18日,エーアンドジェイ  サイエンス  カンパニー，リミテッド,"['', '', '', '', '']",抽出不可,抽出不可,"特表2023-550114
審査中 (拒絶理由通知)"
特表2023-550052,令和5年11月30日,神経変性疾患に関連する神経病理の治療および予防,特願2023-528418,令和3年11月16日,イリアド  バイオテクノロジーズ，リミテッド  ライアビリティ  カンパニー,"['', '']",抽出不可,抽出不可,"特表2023-550052
審査中 (拒絶理由通知)"
特開2022-80286,令和4年5月27日,方法、コンピュータプログラムおよびコンピュータシステム（配送品ピングレートマネージャ）,特願2021-185169,令和3年11月12日,インターナショナル・ビジネス・マシーンズ・コーポレーション,"['', '', '', '']",ピング間の間隔を定めるピングレートは、ＩｏＴ対応ＧＰＳデバイスの利用可能なバッテリ寿命の量により制限を受ける。,配送品追跡デバイスのピングレートを管理する方法は、起点位置と目的地位置との間の配送品に関連付けられた配送品追跡デバイスの電源のバッテリ寿命を決定する段階を含む。方法は、配送品追跡デバイスによるデータ転送のピングバジェットを決定する段階をさらに含む。ピングは、配送品追跡デバイス上の複数のセンサにより収集される様々なデータを含む。方法は、電源のバッテリ寿命と、データ転送のピングバジェットとに基づいて、運送ルートの初期部分の運送ピングレートを決定する段階をさらに含む。方法は、様々なデータの第１のセットを含む、配送品追跡デバイスからの第１のピングを受信したことに応答して、データの第１のセットを含む第１のピングに基づいて運送ピングレートを更新する段階をさらに含む。 【選択図】図２ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 拡大および回転 代表図面 >,"特開2022-080286
審査中 (拒絶査定)"
特許第7076051号,令和4年5月18日,ＩＰネットワークにアクセスするための通信サービスを提供するための装置、方法及びそのためのプログラム,特願2022-18385,令和4年2月9日,株式会社ソラコム,"['', '']",ＭＮＯの通信インフラに接続される通信インフラを用いて、セルラー通信のための無線アクセスネットワークを介さずに当該アクセスを可能とする装置、方法及びプログラムを提供する。,装置２００は、ＩｏＴ機器２３０から、通信サービスの加入者識別子２３２を含むセッション生成要求を受信し、ＭＮＯの通信インフラ２１０に接続されるクラウド上の通信インフラ２２０に含まれる第１、第２のインスタンスの間のＧＴＰトンネルのためのプロビジョニングコールを送信する。第１又は第２のインスタンスから、加入者識別子に関連づけられたＩＤ及びＧＴＰ－Ｕセッションの送信元となる送信元アドレスを受信する。第１のインスタンスにＩｏＴ機器と第１のインスタンスとの間のＶＰＮトンネルのための、送信元アドレス及び公開鍵を含むプロビジョニングコールを送信する。公開鍵に対応する秘密鍵を記憶したＩｏＴ機器に接続情報を送信する。 【選択図】図２ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 1 2 3A 3B 4 拡大および回転 図１ >,"特許7076051
特許 有効 (年金の支払い)"
特許第7076050号,令和4年5月18日,ＩＰネットワークにアクセスするための通信サービスを提供するための装置、方法及びそのためのプログラム,特願2022-18384,令和4年2月9日,株式会社ソラコム,"['', '']",ＭＮＯの通信インフラに接続される通信インフラを用いて、セルラー通信のための無線アクセスネットワークを介さずにアクセスを可能とする方法及び装置を提供する。,装置２００は、ＩｏＴ機器２３０から、通信サービスの加入者識別子２３２を含むセッション生成要求を受信し、ＭＮＯの通信インフラ２１０に接続されるクラウド上の通信インフラ２２０に含まれる第１、第２のインスタンスの間のＧＴＰトンネルのためのプロビジョニングコールを送信する。いずれかのインスタンスから、加入者識別子に関連付けられたＩＤ及びＧＴＰ－Ｕセッションの送信元となる送信元アドレスを受信する。第１のインスタンスにＩｏＴ機器と第１のインスタンスとの間のＶＰＮトンネルのための、送信元アドレス及び公開鍵を含むプロビジョニングコール送信する。公開鍵に対応する秘密鍵を記憶したＩｏＴ機器に接続情報を送信する。 【選択図】図２ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 1 2 3A 3B 4 拡大および回転 図１ >,"特許7076050
特許 有効 (年金の支払い)"
